"","Simulation","Round","Agent","Choice","Reward","Expectation1","Expectation2","Expectation3","Project1_Tasks","Project2_Tasks","Project3_Tasks","Project1_Rewards","Project2_Rewards","Project3_Rewards","Project1_Work","Project2_Work","Project3_Work","alpha","beta","nAgents","nProjects","nTasks","nRounds"
"1",1,1,1,2,1,0.351739175617695,0.971241973922588,0.683389761783183,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"2",1,1,2,3,1,0.286280719150444,0.329832988348789,0.578919217339717,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"3",1,1,3,1,0.916316223196156,0.776663098300543,0.352995464066043,0.358219020371325,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"4",1,1,4,2,1,0.607954722800078,0.712652470218018,0.263727635145187,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"5",1,1,5,1,0.916316223196156,0.837741576999161,0.74901607500622,0.696319607784972,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"6",1,1,6,2,1,0.552212140226392,0.957634896971285,0.118368917144835,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"7",1,1,7,2,1,0.537816183624444,0.695546499686316,0.10058200894855,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"8",1,1,8,1,0.916316223196156,0.769648201579895,0.352235212805681,0.35210760908667,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"9",1,1,9,3,1,0.803817698772783,0.317014764994383,0.987211669329554,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"10",1,1,10,1,0.916316223196156,0.842312657206986,0.370007416373119,0.563303639693186,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"11",1,1,11,2,1,0.496481823237865,0.978208332206123,0.642784833209589,293,294,295,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
