"";"Simulation";"Project1_Tasks";"Project2_Tasks";"Project3_Tasks";"symmetry";"nAgents"
"523";1;46,7552976435323;44,2307125950107;43,4749532610689;"symmetric";18
"1063";2;43,1982440132586;45,8868399097418;45,7653944744034;"symmetric";18
"1603";3;44,930550958651;46,5877802348831;45,4074638332257;"symmetric";18
"2143";4;48,8482407034683;46,2166404207607;40,2893049670251;"symmetric";18
"2683";5;46,5937895316408;42,5520962763303;45,2517333922758;"symmetric";18
"3223";6;44,106740850055;45,0736396981798;45,8870391718628;"symmetric";18
"3763";7;40,1948240186702;42,3801647204838;41,0709549471908;"symmetric";18
"4303";8;44,8298634246677;43,6797436402288;45,4716781230542;"symmetric";18
"4843";9;45,0260728247386;49,8093790888277;44,2668288947389;"symmetric";18
"5383";1;44,2393266709273;40,0066222101952;89,6666666666667;"asymmetric";18
"5923";2;43,7307986461494;48,6791065028305;78,3555555555556;"asymmetric";18
"6463";3;36,6497683878993;44,8212047253122;82,9999999999999;"asymmetric";18
"7003";4;44,3772632164542;39,6803565458939;83,8333333333333;"asymmetric";18
"7543";5;41,4349073447646;40,7317858244932;90,3333333333333;"asymmetric";18
"8083";6;39,8155441957416;43,0035831640763;82,0777777777778;"asymmetric";18
"8623";7;38,6105795318938;43,1609882053407;79,4364197530864;"asymmetric";18
"9163";8;37,1171135122071;48,7931864686121;81,9012345679012;"asymmetric";18
"9703";9;45,646390990809;42,2807616965059;83,5000000000001;"asymmetric";18
"10881";1;100,72261368413;92,9377612110192;100,181618050733;"symmetric";40
"12081";2;98,8232440702507;107,132161688394;95,3911914283196;"symmetric";40
"13281";3;102,565871648855;95,0248031265906;94,4509351783221;"symmetric";40
"14481";4;95,4498196893262;93,4967594134283;107,519247972189;"symmetric";40
"15681";5;105,804014826626;96,0537495702092;94,2595612275294;"symmetric";40
"16881";6;89,4154810892124;97,8255113515244;114,604235402592;"symmetric";40
"18081";7;96,1714052012298;94,0263462053196;103,647023904051;"symmetric";40
"19281";8;99,9787031000611;95,5059366272574;101,957041407202;"symmetric";40
"20481";9;99,5858399501209;107,90649332904;109,186104592772;"symmetric";40
"21681";1;101,877361994686;91,8920733559197;189,833333333333;"asymmetric";40
"22881";2;88,6415142528716;91,2596352182012;182,279259259259;"asymmetric";40
"24081";3;87,0539486760004;105,747205813138;182,761265432099;"asymmetric";40
"25281";4;93,1425587223763;93,0905490444014;185,111111111111;"asymmetric";40
"26481";5;93,2610138671694;86,448768208922;187,611111111111;"asymmetric";40
"27681";6;84,2603301916364;93,6077160093757;193,111111111111;"asymmetric";40
"28881";7;90,5563254493577;94,0213905028284;194,444444444444;"asymmetric";40
"30081";8;86,0465829225223;103,772596314768;180,311682098765;"asymmetric";40
"31281";9;81,4873343171859;97,1794914827068;192,5;"asymmetric";40
"33061";1;145,334229188507;146,086465287673;143,660884573624;"symmetric";60
"34861";2;150,01098135433;144,04430354486;138,249699493201;"symmetric";60
"36661";3;137,121490324509;145,544897123694;149,57517197866;"symmetric";60
"38461";4;133,96710573752;156,842213287802;156,832229296225;"symmetric";60
"40261";5;151,724006463783;142,958748247647;156,515631354065;"symmetric";60
"42061";6;133,304901817614;139,225006242693;156,380046526296;"symmetric";60
"43861";7;153,883775294092;140,56838955381;148,241982591424;"symmetric";60
"45661";8;156,00303265398;144,680308870685;155,999351850264;"symmetric";60
"47461";9;126,541078456069;144,008927569282;150,634112915019;"symmetric";60
"49261";1;145,978232745468;133,773991424683;272,2125;"asymmetric";60
"51061";2;142,855684338456;144,15994264514;260,775;"asymmetric";60
"52861";3;132,99891361048;149,859033562523;274,333333333334;"asymmetric";60
"54661";4;133,011015943802;141,787149306985;271,577314814815;"asymmetric";60
"56461";5;127,275716204626;135,460606222115;272,032407407407;"asymmetric";60
"58261";6;129,410650076437;147,36502197455;294,166666666666;"asymmetric";60
"60061";7;149,426711432002;133,60697792131;281,742222222222;"asymmetric";60
"61861";8;126,360679270589;145,893202519239;280,499999999999;"asymmetric";60
"63661";9;114,991294862721;159,226821225575;274,526388888889;"asymmetric";60
"66331";1;231,656005417113;225,313877092468;190,829839069238;"symmetric";90
"69031";2;220,558901261402;226,548070223235;232,236117877222;"symmetric";90
"71731";3;213,921427821384;231,098509635874;221,430760495192;"symmetric";90
"74431";4;220,044692685125;214,912531553145;255,766707519255;"symmetric";90
"77131";5;235,278686762029;227,530406577873;226,873663330999;"symmetric";90
"79831";6;230,408520569666;215,229678553034;227,299524890725;"symmetric";90
"82531";7;246,482811956263;221,062592575426;253,464522288842;"symmetric";90
"85231";8;209,409867570862;225,157505773248;235,349334524883;"symmetric";90
"87931";9;239,336455659354;191,696073763271;210,567836411238;"symmetric";90
"90631";1;196,374982532613;241,311656547595;397,871604938271;"asymmetric";90
"93331";2;188,445224895039;223,596556809126;412;"asymmetric";90
"96031";3;179,957325402188;218,986095076478;443,333333333333;"asymmetric";90
"98731";4;195,193597875681;213,850040950131;411,255185185185;"asymmetric";90
"101431";5;209,490272667889;206,964679513613;416,703333333333;"asymmetric";90
"104131";6;208,91305362343;217,704156249686;413,666666666666;"asymmetric";90
"106831";7;205,37300171557;212,300143029523;428,833333333334;"asymmetric";90
"109531";8;194,922975420938;209,703091866457;421,5;"asymmetric";90
"112231";9;182,716577856118;231,571928003837;407,263888888889;"asymmetric";90
"115801";1;301,426315039082;326,092412345861;256,08748832017;"symmetric";120
"119401";2;300,158255010232;296,427556663118;297,937146042119;"symmetric";120
"123001";3;284,745331597896;300,411242197101;326,838377476284;"symmetric";120
"126601";4;277,195930825587;301,44534261923;322,617683375681;"symmetric";120
"130201";5;294,260583387054;293,835335297263;280,679893529403;"symmetric";120
"133801";6;303,224860397191;302,79039751864;313,561047070073;"symmetric";120
"137401";7;311,739393588627;287,109210248392;303,438422160003;"symmetric";120
"141001";8;299,815964279726;298,352522700503;329,310720414756;"symmetric";120
"144601";9;309,704159479999;299,937911806891;282,794974358442;"symmetric";120
"148201";1;283,983700984792;292,978531548018;544,157638888889;"asymmetric";120
"151801";2;245,01389375755;306,694800868986;549,5;"asymmetric";120
"155401";3;237,062102840527;289,160467954644;590,166666666667;"asymmetric";120
"159001";4;273,447774009997;280,02931648552;549,679583333333;"asymmetric";120
"162601";5;258,106822995269;288,642776930749;551,833333333333;"asymmetric";120
"166201";6;262,994256306888;289,767742272959;566,666666666667;"asymmetric";120
"169801";7;246,483930004104;266,434549275259;610,5;"asymmetric";120
"173401";8;259,985144206012;283,247305825713;543,936296296296;"asymmetric";120
"177001";9;278,321424659573;282,210273806451;556,333333333333;"asymmetric";120
