"";"Simulation";"Project1_Tasks";"Project2_Tasks";"Project3_Tasks";"Project4_Tasks";"Project5_Tasks";"Project6_Tasks";"symmetry";"nAgents"
"523";1;22,8952334648921;30,8761318651741;24,5335012380289;23,5298766834602;24,6539227447397;22,5058098901825;"symmetric";18
"1063";2;20,7816552422468;23,2860671525364;19,3055603856476;20,5195194623902;32,8635792962907;23,7519846688143;"symmetric";18
"1603";3;24,6258881407414;24,7193578219582;20,6596043962541;24,6930344227971;22,8587429788031;24,036540279197;"symmetric";18
"2143";4;20,5804265253519;31,4562169230033;25,2284543458875;21,6164025349647;21,8562131392138;23,8370702970081;"symmetric";18
"2683";5;24,7011708100005;23,7593361463084;24,5709135082156;28,5892809297054;24,008522713017;26,3391052510188;"symmetric";18
"3223";6;27,5688662593766;22,3193911879155;22,9072114576759;23,5326547137698;24,2377638285414;22,0819051281829;"symmetric";18
"3763";7;21,0000928078501;20,9124145837843;21,0087653828988;26,7717350081147;37,3684910836763;23,2636941433362;"symmetric";18
"4303";8;24,9588574919175;25,5105238862352;25,4946513359258;30,3556498275444;22,6484911985686;25,0285682356025;"symmetric";18
"4843";9;38,887037037037;29,5007828762079;20,3421891388537;21,5602322977169;22,1304351067845;22,7385414354017;"symmetric";18
"5383";1;18,5557283864036;19,5741204406395;22,0298794069362;25,1669955511915;38,9482469135802;61,6133333333333;"asymmetric";18
"5923";2;17,7118554859099;18,3591670329568;19,1461461264977;20,9096775480334;56,57;57,1133333333333;"asymmetric";18
"6463";3;17,0781121767311;18,7357419814161;20,534611849781;31,2200865194819;34,6416666666667;67,6133333333333;"asymmetric";18
"7003";4;17,0961842531086;20,0406918768585;17,8354936254329;28,158230115564;32,9704760128029;62,28;"asymmetric";18
"7543";5;17,1054354350637;18,4970874037518;19,7335659122412;27,7420285964297;39,4127037037037;65,28;"asymmetric";18
"8083";6;20,0884973189682;17,4887383388416;19,2459436986841;24,818823544067;47,57;60,28;"asymmetric";18
"8623";7;17,4477878223018;17,5058398426644;20,484700785441;23,3155155282194;35,6940634049688;66,1133333333333;"asymmetric";18
"9163";8;16,6809467772722;20,3072802113805;19,5468490375388;22,7214325980768;46,4033333333333;57,9466666666666;"asymmetric";18
"9703";9;19,6151074834785;19,4605015351015;21,5945661478631;21,6552004969515;43,7366666666667;56,4466666666667;"asymmetric";18
"10881";1;55,1100751570834;41,8678261623876;40,7382273878045;45,5189515400341;56,1227970847729;44,869236812355;"symmetric";40
"12081";2;42,818186296473;44,9155665648064;49,189804419004;52,2359386385728;46,7451147694811;44,9191159929466;"symmetric";40
"13281";3;44,4834362387493;51,0369551586239;50,8474192652036;47,2961079140065;53,6492661724682;47,5500926901153;"symmetric";40
"14481";4;45,0633906840005;48,3880707517979;52,9170522579273;45,663512377852;51,1636055342075;48,1977337277029;"symmetric";40
"15681";5;47,2578778767259;51,2055147783609;48,2515737556124;41,6913761093716;53,1847491796214;56,6040358532173;"symmetric";40
"16881";6;50,4609230600902;64,1369435316739;52,165808175364;52,6885481972571;53,7245879074361;51,5778351230377;"symmetric";40
"18081";7;47,2292535035798;47,3857319269285;54,083640724128;53,4433893085709;55,9232905145715;50,1283036471021;"symmetric";40
